file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00256_0105_732636_to_742431,ཚེ་བརྟན་ལྷ་མོས་སེམས་ཁུར་ཆེན་པོས་དེ་འདྲའི་ཧུར་བརྩོན་བྱེད་ག་ལ་དགོས་ཞེས་བཤད་ནའང་མ་ཉན་པར་ཞོགས་པ་ཨང་དང་པོར་ལུག་འདོན་པ་དང་། དགོང་མོ་ཕྱི་ཤོས་བྱས་ཏེ་ ,tshe brtan lha mos sems khur chen pos de 'dra'i hur brtson byed ga la dgos zhes bshad na'ang ma nyan par zhogs pa ang dang por lug 'don pa dang /_dgong mo phyi shos byas te _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00256_0105_732636_to_742431.wav,STT_AB,3,142,9.795,wav16k/STT_AB00256_0105_732636_to_742431.wav,ཚེ་བརྟན་ལྷ་མོས་སེམས་འཁུར་ཆེན་པོས་དེ་འདྲའི་ཧུར་བརྩོན་བྱེད་ག་ལ་དགོས་ཞེས་བཤད་ན་ཡང་མ་ཉན་པར་ཞོགས་པ་ཨང་དང་པོར་ལུག་འདོན་པ་དང་དགོང་མོ་ཕྱིར་ཤོས་བྱས་ཏེ་
STT_AB00173_0565_2457909_to_2460264,སྦྱིན་པ་ལ་འབྲས་བུ་མེད་དོ་སྙམ་པ་དང་།  ,sbyin pa la 'bras bu med do snyam pa dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00173_0565_2457909_to_2460264.wav,STT_AB,3,37,2.355,wav16k/STT_AB00173_0565_2457909_to_2460264.wav,སྦྱིན་པ་ལ་འབྲས་བུ་མེད་དོ་སྙམ་པ་དང་།
STT_AB00174_1162_5910076_to_5918967,དགེ་བ་དང་མི་དགེ་བ་དང་ལུང་དུ་མ་བསྟན་པ་རྣམས་ལ་སེམས་འཇུག་པར་བྱེད་པའི་ལས་ཅན་ནོ། ཞེས་གསུངས་པ་ལྟར་ཤེས་པར་བྱའོ།  ,dge ba dang mi dge ba dang lung du ma bstan pa rnams la sems 'jug par byed pa'i las can no/_zhes gsungs pa ltar shes par bya'o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00174_1162_5910076_to_5918967.wav,STT_AB,3,106,8.891,wav16k/STT_AB00174_1162_5910076_to_5918967.wav,དགེ་བ་དང་མི་དགེ་བ་དང་ལུང་དུ་མ་བསྟན་པ་རྣམས་ལ་སེམས་འཇུ་བར་བྱེད་པའི་ལས་ཅན་ནོ། ཞེས་གསུངས་པ་ལྟར་ཤེས་པར་བྱའོ།
STT_AB00073_0007_43562_to_48422,བདེན་པ་དང་གནས་ལུགས་ལ་ཐུག་པའི་སྐབས། མི་སུ་གཅིག་ལ་ཡང་ངོ་སོ་མི་སྟེར་བ་ནི།  ,bden pa dang gnas lugs la thug pa'i skabs/_mi su gcig la yang ngo so mi ster ba ni/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00073_0007_43562_to_48422.wav,STT_AB,3,72,4.86,wav16k/STT_AB00073_0007_43562_to_48422.wav,བདེན་པ་དང་གནས་ལུགས་ལ་ཐུག་པའི་སྐབས། མི་སུ་གཅིག་ལ་ཡང་ངོ་སོ་མི་སྟེར་བ་ནི།
STT_AB00076_0033_142619_to_143175,འོན་ཀྱང་ ,'on kyang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00076_0033_142619_to_143175.wav,STT_AB,3,9,0.556,wav16k/STT_AB00076_0033_142619_to_143175.wav,འོན་ཀྱང་
STT_AB00076_0048_200702_to_201985,ཁྱེད་ཀྱིས་གསུངས་པ་བདེན།  ,khyed kyis gsungs pa bden/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00076_0048_200702_to_201985.wav,STT_AB,3,25,1.283,wav16k/STT_AB00076_0048_200702_to_201985.wav,ཁྱེད་ཀྱིས་གསུངས་པ་བདེན།
STT_AB00076_0050_204668_to_206575,ཅ་དངོས་གཅིག་ཀྱང་ཉོ་སྒྲུག་བྱས་མེད་ལ།  ,ca dngos gcig kyang nyo sgrug byas med la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00076_0050_204668_to_206575.wav,STT_AB,3,37,1.907,wav16k/STT_AB00076_0050_204668_to_206575.wav,ཅ་དངོས་གཅིག་ཀྱང་ཉོ་སྒྲུག་བྱས་མེད་ལ།
STT_AB00076_0051_207317_to_209494,ང་མ་གཞི་ནས་ཁྱེད་ཚོ་དང་མཉམ་དུ་ ,nga ma gzhi nas khyed tsho dang mnyam du _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00076_0051_207317_to_209494.wav,STT_AB,3,30,2.177,wav16k/STT_AB00076_0051_207317_to_209494.wav,ང་མ་གཞི་ནས་ཁྱེད་ཚོ་དང་མཉམ་དུ་
STT_AB00076_0053_210996_to_211958,འགྲོ་འདང་ཡང་མིན།  ,'gro 'dang yang min/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00076_0053_210996_to_211958.wav,STT_AB,3,18,0.962,wav16k/STT_AB00076_0053_210996_to_211958.wav,འགྲོ་སྟངས་ཡང་མིན།
STT_AB00076_0054_212886_to_214320,ངས་མ་འོངས་པར་ ,ngas ma 'ongs par _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00076_0054_212886_to_214320.wav,STT_AB,3,14,1.434,wav16k/STT_AB00076_0054_212886_to_214320.wav,ངས་མ་འོངས་པར་
STT_AB00077_0042_210524_to_212245,དབང་གི་ཟླ་གམ་ལུང་པ་ན།  ,dbang gi zla gam lung pa na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00077_0042_210524_to_212245.wav,STT_AB,3,23,1.721,wav16k/STT_AB00077_0042_210524_to_212245.wav,དབང་གི་ཟླ་གམ་ལུང་པ་ན།
STT_AB00078_0005_43191_to_45300,དགུང་ལོ་བཅུ་དྲུག་པའི་ཐོག་དབུས་སུ་བྱོན།  ,dgung lo bcu drug pa'i thog dbus su byon/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00078_0005_43191_to_45300.wav,STT_AB,3,40,2.109,wav16k/STT_AB00078_0005_43191_to_45300.wav,དགུང་ལོ་བཅུ་དྲུག་པའི་ཐོག་དབུས་སུ་བྱོན།
